[2025-10-25 22:24:35] INFO: Detection scale factor changed to 1.23
[2025-10-25 22:24:35] INFO: detection.scale_factor has been changed to 1.22
[2025-10-25 22:24:35] INFO: Detection scale factor changed to 1.22
[2025-10-25 22:24:35] INFO: detection.scale_factor has been changed to 1.21
[2025-10-25 22:24:35] INFO: Detection scale factor changed to 1.21
[2025-10-25 22:24:35] INFO: detection.scale_factor has been changed to 1.2
[2025-10-25 22:24:35] INFO: Detection scale factor changed to 1.2
[2025-10-25 22:24:35] INFO: detection.scale_factor has been changed to 1.19
[2025-10-25 22:24:35] INFO: Detection scale factor changed to 1.19
[2025-10-25 22:24:35] INFO: detection.scale_factor has been changed to 1.18
[2025-10-25 22:24:35] INFO: Detection scale factor changed to 1.18
[2025-10-25 22:24:35] INFO: detection.scale_factor has been changed to 1.17
[2025-10-25 22:24:35] INFO: Detection scale factor changed to 1.17
[2025-10-25 22:24:35] INFO: detection.scale_factor has been changed to 1.16
[2025-10-25 22:24:35] INFO: Detection scale factor changed to 1.16
[2025-10-25 22:24:35] INFO: detection.scale_factor has been changed to 1.15
[2025-10-25 22:24:35] INFO: Detection scale factor changed to 1.15
[2025-10-25 22:24:35] INFO: detection.scale_factor has been changed to 1.14
[2025-10-25 22:24:35] INFO: Detection scale factor changed to 1.14
[2025-10-25 22:24:35] INFO: detection.scale_factor has been changed to 1.13
[2025-10-25 22:24:35] INFO: Detection scale factor changed to 1.13
[2025-10-25 22:24:35] INFO: detection.scale_factor has been changed to 1.12
[2025-10-25 22:24:35] INFO: Detection scale factor changed to 1.12
[2025-10-25 22:24:35] INFO: detection.scale_factor has been changed to 1.11
[2025-10-25 22:24:35] INFO: Detection scale factor changed to 1.11
[2025-10-25 22:24:35] INFO: detection.scale_factor has been changed to 1.1
[2025-10-25 22:24:35] INFO: Detection scale factor changed to 1.1
[2025-10-25 22:24:35] INFO: detection.scale_factor has been changed to 1.09
[2025-10-25 22:24:35] INFO: Detection scale factor changed to 1.09
[2025-10-25 22:24:35] INFO: detection.scale_factor has been changed to 1.08
[2025-10-25 22:24:35] INFO: Detection scale factor changed to 1.08
[2025-10-25 22:24:35] INFO: detection.scale_factor has been changed to 1.07
[2025-10-25 22:24:35] INFO: Detection scale factor changed to 1.07
[2025-10-25 22:24:35] INFO: detection.scale_factor has been changed to 1.08
[2025-10-25 22:24:35] INFO: Detection scale factor changed to 1.08
[2025-10-25 22:24:35] INFO: detection.scale_factor has been changed to 1.09
[2025-10-25 22:24:35] INFO: Detection scale factor changed to 1.09
[2025-10-25 22:24:35] INFO: detection.scale_factor has been changed to 1.1
[2025-10-25 22:24:35] INFO: Detection scale factor changed to 1.1
[2025-10-25 22:24:35] INFO: detection.scale_factor has been changed to 1.11
[2025-10-25 22:24:35] INFO: Detection scale factor changed to 1.11
[2025-10-25 22:24:35] INFO: detection.scale_factor has been changed to 1.12
[2025-10-25 22:24:35] INFO: Detection scale factor changed to 1.12
[2025-10-25 22:24:35] INFO: detection.scale_factor has been changed to 1.13
[2025-10-25 22:24:35] INFO: Detection scale factor changed to 1.13
[2025-10-25 22:24:35] INFO: detection.scale_factor has been changed to 1.14
[2025-10-25 22:24:35] INFO: Detection scale factor changed to 1.14
[2025-10-25 22:24:35] INFO: detection.scale_factor has been changed to 1.15
[2025-10-25 22:24:35] INFO: Detection scale factor changed to 1.15
[2025-10-25 22:24:35] INFO: detection.scale_factor has been changed to 1.16
[2025-10-25 22:24:35] INFO: Detection scale factor changed to 1.16
[2025-10-25 22:24:35] INFO: detection.scale_factor has been changed to 1.17
[2025-10-25 22:24:35] INFO: Detection scale factor changed to 1.17
[2025-10-25 22:24:35] INFO: detection.scale_factor has been changed to 1.18
[2025-10-25 22:24:35] INFO: Detection scale factor changed to 1.18
[2025-10-25 22:24:35] INFO: detection.scale_factor has been changed to 1.19
[2025-10-25 22:24:35] INFO: Detection scale factor changed to 1.19
[2025-10-25 22:24:35] INFO: detection.scale_factor has been changed to 1.2
[2025-10-25 22:24:35] INFO: Detection scale factor changed to 1.2
[2025-10-25 22:24:35] INFO: detection.scale_factor has been changed to 1.21
[2025-10-25 22:24:35] INFO: Detection scale factor changed to 1.21
[2025-10-25 22:24:35] INFO: detection.scale_factor has been changed to 1.22
[2025-10-25 22:24:35] INFO: Detection scale factor changed to 1.22
[2025-10-25 22:24:35] INFO: detection.scale_factor has been changed to 1.23
[2025-10-25 22:24:35] INFO: Detection scale factor changed to 1.23
[2025-10-25 22:24:35] INFO: detection.scale_factor has been changed to 1.24
[2025-10-25 22:24:35] INFO: Detection scale factor changed to 1.24
[2025-10-25 22:24:35] INFO: detection.scale_factor has been changed to 1.25
[2025-10-25 22:24:35] INFO: Detection scale factor changed to 1.25
[2025-10-25 22:24:35] INFO: detection.scale_factor has been changed to 1.26
[2025-10-25 22:24:35] INFO: Detection scale factor changed to 1.26
[2025-10-25 22:24:36] INFO: detection.scale_factor has been changed to 1.25
[2025-10-25 22:24:36] INFO: Detection scale factor changed to 1.25
[2025-10-25 22:24:36] INFO: detection.scale_factor has been changed to 1.24
[2025-10-25 22:24:36] INFO: Detection scale factor changed to 1.24
[2025-10-25 22:24:36] INFO: detection.scale_factor has been changed to 1.23
[2025-10-25 22:24:36] INFO: Detection scale factor changed to 1.23
[2025-10-25 22:24:36] INFO: detection.scale_factor has been changed to 1.22
[2025-10-25 22:24:36] INFO: Detection scale factor changed to 1.22
[2025-10-25 22:24:36] INFO: detection.scale_factor has been changed to 1.21
[2025-10-25 22:24:36] INFO: Detection scale factor changed to 1.21
[2025-10-25 22:24:36] INFO: detection.scale_factor has been changed to 1.2
[2025-10-25 22:24:36] INFO: Detection scale factor changed to 1.2
[2025-10-25 22:24:36] INFO: detection.scale_factor has been changed to 1.19
[2025-10-25 22:24:36] INFO: Detection scale factor changed to 1.19
[2025-10-25 22:24:36] INFO: detection.scale_factor has been changed to 1.18
[2025-10-25 22:24:36] INFO: Detection scale factor changed to 1.18
[2025-10-25 22:24:36] INFO: detection.scale_factor has been changed to 1.17
[2025-10-25 22:24:36] INFO: Detection scale factor changed to 1.17
[2025-10-25 22:24:36] INFO: detection.scale_factor has been changed to 1.16
[2025-10-25 22:24:36] INFO: Detection scale factor changed to 1.16
[2025-10-25 22:24:37] INFO: detection.scale_factor has been changed to 1.16
[2025-10-25 22:24:37] INFO: Detection scale factor changed to 1.16
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 171
[2025-10-25 22:25:40] INFO: Min size changed to 171
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 169
[2025-10-25 22:25:40] INFO: Min size changed to 169
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 168
[2025-10-25 22:25:40] INFO: Min size changed to 168
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 167
[2025-10-25 22:25:40] INFO: Min size changed to 167
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 166
[2025-10-25 22:25:40] INFO: Min size changed to 166
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 165
[2025-10-25 22:25:40] INFO: Min size changed to 165
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 164
[2025-10-25 22:25:40] INFO: Min size changed to 164
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 163
[2025-10-25 22:25:40] INFO: Min size changed to 163
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 162
[2025-10-25 22:25:40] INFO: Min size changed to 162
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 161
[2025-10-25 22:25:40] INFO: Min size changed to 161
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 160
[2025-10-25 22:25:40] INFO: Min size changed to 160
[2025-10-25 22:25:40] INFO: detection.min_size_px has been changed to 159
[2025-10-25 22:25:40] INFO: Min size changed to 159
