[2025-10-15 17:00:10] INFO: Application Logger Initialized.
[2025-10-15 17:00:10] INFO: Configuration and core components loaded.
[2025-10-15 17:00:10] INFO: Configuration loaded from classpath: app.properties
[2025-10-15 17:00:10] INFO: Configuration file loaded
[2025-10-15 17:00:10] INFO: MyGUIProgram Started!
[2025-10-15 17:00:11] INFO: === Folder debug ===
[2025-10-15 17:00:11] INFO: Found folder: C:\SMU\CS102 Project\FaceRecognitionCS102\data\facedata\S11234_PY
[2025-10-15 17:00:11] INFO:   Contains: 15 items
[2025-10-15 17:00:11] INFO:   Display label: S11234 - PY
[2025-10-15 17:00:11] INFO: Found folder: C:\SMU\CS102 Project\FaceRecognitionCS102\data\facedata\S12127_Jin_Rae
[2025-10-15 17:00:11] INFO:   Contains: 30 items
[2025-10-15 17:00:11] INFO:   Display label: S12127 - Jin_Rae
[2025-10-15 17:00:11] INFO: Found folder: C:\SMU\CS102 Project\FaceRecognitionCS102\data\facedata\S12345_Jereme
[2025-10-15 17:00:11] INFO:   Contains: 15 items
[2025-10-15 17:00:11] INFO:   Display label: S12345 - Jereme
[2025-10-15 17:00:11] INFO: Found folder: C:\SMU\CS102 Project\FaceRecognitionCS102\data\facedata\S32445_Beverly_Seet
[2025-10-15 17:00:11] INFO:   Contains: 30 items
[2025-10-15 17:00:11] INFO:   Display label: S32445 - Beverly_Seet
[2025-10-15 17:00:11] INFO: ====================
[2025-10-15 17:00:13] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:13] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:13] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:13] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:13] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:13] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:13] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:14] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:14] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:14] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:14] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:14] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:14] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:14] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:14] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:15] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:15] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:15] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:15] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:15] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:15] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:15] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:15] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:15] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:15] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:15] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:16] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:16] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:16] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:16] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:16] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:16] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:16] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:16] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:17] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:17] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:17] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:17] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:17] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:17] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:17] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:17] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:17] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:18] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:18] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:18] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:18] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:18] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:18] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:18] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:18] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:19] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:19] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:19] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:19] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:19] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:19] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:19] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:19] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:20] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:20] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:20] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:20] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:20] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:20] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:20] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:20] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:21] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:21] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:21] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:21] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:21] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:21] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:21] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:22] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:22] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:22] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:22] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:22] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:22] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:22] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:23] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:23] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:23] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:23] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:23] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:23] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:23] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:23] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:23] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:24] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:24] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:24] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:24] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:24] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:24] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:24] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:25] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:25] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:25] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:25] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:25] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:25] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:25] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:25] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:25] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:26] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:26] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:26] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:26] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:26] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:26] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:26] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:26] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:26] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:26] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:27] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:27] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:27] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:27] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:27] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:27] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:27] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:27] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:27] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:28] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:28] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:28] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:28] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:28] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:28] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:28] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:28] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:28] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:28] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:29] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:29] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:29] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:29] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:29] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:29] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:29] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:29] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:29] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:29] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:30] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:30] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:30] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:30] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:30] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:30] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:30] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:30] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:30] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:30] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:30] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:31] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:31] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:31] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:31] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:31] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:31] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:31] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:31] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:31] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:31] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:32] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:32] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:32] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:32] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:32] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:32] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:32] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:32] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:32] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:32] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:33] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:33] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:33] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:33] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:33] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:33] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:33] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:33] INFO: Face embedding model loaded successfully
[2025-10-15 17:00:34] INFO: Face embedding model loaded successfully
