[2025-10-15 20:01:13] INFO: Application Logger Initialized.
[2025-10-15 20:01:13] INFO: Configuration and core components loaded.
[2025-10-15 20:01:13] INFO: Configuration loaded from classpath: app.properties
[2025-10-15 20:01:13] INFO: Configuration file loaded
[2025-10-15 20:01:13] INFO: MyGUIProgram Started!
[2025-10-15 20:01:16] INFO: === Folder debug ===
[2025-10-15 20:01:16] INFO: Found folder: C:\Users\jerem\Desktop\homework folder wink wink\UNIVERSITEEEE\Year 2 omgommg\SEM SATU\Programming Fundmentals TOOO\Weekly ICEs\project_demo_codes\data\facedata\S11234_PY
[2025-10-15 20:01:16] INFO:   Contains: 15 items
[2025-10-15 20:01:16] INFO:   Display label: S11234 - PY
[2025-10-15 20:01:16] INFO: Found folder: C:\Users\jerem\Desktop\homework folder wink wink\UNIVERSITEEEE\Year 2 omgommg\SEM SATU\Programming Fundmentals TOOO\Weekly ICEs\project_demo_codes\data\facedata\S12127_Jin_Rae
[2025-10-15 20:01:16] INFO:   Contains: 30 items
[2025-10-15 20:01:16] INFO:   Display label: S12127 - Jin_Rae
[2025-10-15 20:01:16] INFO: Found folder: C:\Users\jerem\Desktop\homework folder wink wink\UNIVERSITEEEE\Year 2 omgommg\SEM SATU\Programming Fundmentals TOOO\Weekly ICEs\project_demo_codes\data\facedata\S12345_Jereme
[2025-10-15 20:01:16] INFO:   Contains: 30 items
[2025-10-15 20:01:16] INFO:   Display label: S12345 - Jereme
[2025-10-15 20:01:16] INFO: Found folder: C:\Users\jerem\Desktop\homework folder wink wink\UNIVERSITEEEE\Year 2 omgommg\SEM SATU\Programming Fundmentals TOOO\Weekly ICEs\project_demo_codes\data\facedata\S99998_Kim_Jun_Un
[2025-10-15 20:01:16] INFO:   Contains: 30 items
[2025-10-15 20:01:16] INFO:   Display label: S99998 - Kim_Jun_Un
[2025-10-15 20:01:16] INFO: Found folder: C:\Users\jerem\Desktop\homework folder wink wink\UNIVERSITEEEE\Year 2 omgommg\SEM SATU\Programming Fundmentals TOOO\Weekly ICEs\project_demo_codes\data\facedata\S99999_Tonald_Drump
[2025-10-15 20:01:16] INFO:   Contains: 30 items
[2025-10-15 20:01:16] INFO:   Display label: S99999 - Tonald_Drump
[2025-10-15 20:01:16] INFO: ====================
[2025-10-15 20:01:20] INFO: Face embedding model loaded successfully
[2025-10-15 20:01:20] INFO: Face embedding model loaded successfully
[2025-10-15 20:01:21] INFO: Face embedding model loaded successfully
[2025-10-15 20:01:21] INFO: Face embedding model loaded successfully
[2025-10-15 20:01:21] INFO: Face embedding model loaded successfully
[2025-10-15 20:01:21] INFO: Face embedding model loaded successfully
[2025-10-15 20:01:21] INFO: Face embedding model loaded successfully
[2025-10-15 20:01:21] INFO: [0.0, 0.651138035704669, 0.7250152701036777, 0.5746788903914339, 0.5727350866626658]
[2025-10-15 20:01:21] INFO: Face embedding model loaded successfully
[2025-10-15 20:01:21] INFO: [0.0, 0.7604778055658545, 0.5894855687198505, 0.6645312847434158, 0.42765135337358995]
[2025-10-15 20:01:21] INFO: Face embedding model loaded successfully
[2025-10-15 20:01:21] INFO: [0.0, 0.6916261491152236, 0.6268088412299708, 0.6920744534302867, 0.516700478231117]
[2025-10-15 20:01:21] INFO: Face embedding model loaded successfully
[2025-10-15 20:01:21] INFO: [0.0, 0.6268350237045828, 0.5278412344577667, 0.6379477072858898, 0.44301380421344605]
[2025-10-15 20:01:22] INFO: Face embedding model loaded successfully
[2025-10-15 20:01:22] INFO: [0.0, 0.6118474352704499, 0.5745441169501607, 0.6360862334561632, 0.42993822229337186]
[2025-10-15 20:01:22] INFO: Face embedding model loaded successfully
[2025-10-15 20:01:22] INFO: Face embedding model loaded successfully
[2025-10-15 20:01:22] INFO: Face embedding model loaded successfully
[2025-10-15 20:01:22] INFO: Face embedding model loaded successfully
[2025-10-15 20:01:22] INFO: Face embedding model loaded successfully
[2025-10-15 20:01:22] INFO: Face embedding model loaded successfully
[2025-10-15 20:01:22] INFO: Face embedding model loaded successfully
[2025-10-15 20:01:22] INFO: Face embedding model loaded successfully
[2025-10-15 20:01:23] INFO: Face embedding model loaded successfully
[2025-10-15 20:01:23] INFO: [0.0, 0.7452251521873551, 0.7435255734108578, 0.6106851049499117, 0.4534310621639081]
[2025-10-15 20:01:23] INFO: Face embedding model loaded successfully
[2025-10-15 20:01:23] INFO: Face embedding model loaded successfully
[2025-10-15 20:01:23] INFO: [0.0, 0.7659311634185345, 0.6666783489884087, 0.762792013674849, 0.40819896962285607]
[2025-10-15 20:01:23] INFO: Face embedding model loaded successfully
[2025-10-15 20:01:23] INFO: Face embedding model loaded successfully
[2025-10-15 20:01:23] INFO: Face embedding model loaded successfully
[2025-10-15 20:01:24] INFO: Face embedding model loaded successfully
[2025-10-15 20:01:24] INFO: Face embedding model loaded successfully
[2025-10-15 20:01:24] INFO: Face embedding model loaded successfully
[2025-10-15 20:01:24] INFO: Face embedding model loaded successfully
[2025-10-15 20:01:24] INFO: Face embedding model loaded successfully
[2025-10-15 20:01:24] INFO: Face embedding model loaded successfully
[2025-10-15 20:01:24] INFO: Face embedding model loaded successfully
[2025-10-15 20:01:25] INFO: Face embedding model loaded successfully
[2025-10-15 20:01:25] INFO: Face embedding model loaded successfully
[2025-10-15 20:01:25] INFO: Face embedding model loaded successfully
[2025-10-15 20:01:25] INFO: Face embedding model loaded successfully
[2025-10-15 20:01:25] INFO: Face embedding model loaded successfully
[2025-10-15 20:01:25] INFO: Face embedding model loaded successfully
[2025-10-15 20:01:25] INFO: Face embedding model loaded successfully
[2025-10-15 20:01:25] INFO: Face embedding model loaded successfully
[2025-10-15 20:01:25] INFO: [0.0, 0.706392956405199, 0.5448366134089478, 0.5413984752926175, 0.2840535328121033]
[2025-10-15 20:01:26] INFO: Face embedding model loaded successfully
[2025-10-15 20:01:26] INFO: Face embedding model loaded successfully
[2025-10-15 20:01:26] INFO: Face embedding model loaded successfully
[2025-10-15 20:01:26] INFO: Face embedding model loaded successfully
[2025-10-15 20:01:26] INFO: [0.0, 0.7275629974852361, 0.5379541567581487, 0.6121176859551714, 0.2595389671129134]
