[2025-10-21 18:14:34] INFO: Application Logger Initialized.
[2025-10-21 18:14:34] INFO: app.properties normalized (55 entries).
[2025-10-21 18:14:34] INFO: Configuration loaded from file: C:\Users\Jereme\OneDrive\Pictures\Documents\GITHUB SHIT\FaceRecognitionCS102\app.properties
[2025-10-21 18:14:35] INFO: ￢ﾜﾅ OpenFace nn4.small2.v1 model loaded successfully
[2025-10-21 18:14:35] INFO: StudentManager initialized successfully
[2025-10-21 18:14:35] INFO: GUI launched successfully
[2025-10-21 18:14:45] INFO: ￢ﾜﾅ OpenFace nn4.small2.v1 model loaded successfully
[2025-10-21 18:14:45] INFO: FaceCaptureDialog created for student: jereme
[2025-10-21 18:14:46] INFO: Dialog initialized
[2025-10-21 18:14:46] INFO: Starting camera preview...
[2025-10-21 18:14:46] INFO: Preview timer started at 20fps
[2025-10-21 18:14:52] INFO: detection.scale_factor has been changed to 1.03
[2025-10-21 18:14:52] INFO: Detection scale factor changed to 1.03
[2025-10-21 18:14:52] INFO: detection.scale_factor has been changed to 1.04
[2025-10-21 18:14:52] INFO: Detection scale factor changed to 1.04
[2025-10-21 18:14:52] INFO: detection.scale_factor has been changed to 1.05
[2025-10-21 18:14:52] INFO: Detection scale factor changed to 1.05
[2025-10-21 18:14:52] INFO: detection.scale_factor has been changed to 1.06
[2025-10-21 18:14:52] INFO: Detection scale factor changed to 1.06
[2025-10-21 18:14:52] INFO: detection.scale_factor has been changed to 1.07
[2025-10-21 18:14:52] INFO: Detection scale factor changed to 1.07
[2025-10-21 18:14:53] INFO: detection.scale_factor has been changed to 1.08
[2025-10-21 18:14:53] INFO: Detection scale factor changed to 1.08
[2025-10-21 18:14:53] INFO: detection.scale_factor has been changed to 1.09
[2025-10-21 18:14:53] INFO: Detection scale factor changed to 1.09
[2025-10-21 18:14:53] INFO: detection.scale_factor has been changed to 1.1
[2025-10-21 18:14:53] INFO: Detection scale factor changed to 1.1
[2025-10-21 18:14:53] INFO: detection.scale_factor has been changed to 1.11
[2025-10-21 18:14:53] INFO: Detection scale factor changed to 1.11
[2025-10-21 18:14:54] INFO: detection.scale_factor has been changed to 1.11
[2025-10-21 18:14:54] INFO: Detection scale factor changed to 1.11
[2025-10-21 18:15:01] INFO: detection.min.neighbors has been changed to 5
[2025-10-21 18:15:01] INFO: Min neighbors changed to 5
[2025-10-21 18:15:01] INFO: detection.min.neighbors has been changed to 6
[2025-10-21 18:15:01] INFO: Min neighbors changed to 6
[2025-10-21 18:15:01] INFO: detection.min.neighbors has been changed to 6
[2025-10-21 18:15:01] INFO: Min neighbors changed to 6
[2025-10-21 18:15:03] INFO: detection.scale_factor has been changed to 1.11
[2025-10-21 18:15:03] INFO: Detection scale factor changed to 1.11
[2025-10-21 18:15:03] INFO: detection.scale_factor has been changed to 1.12
[2025-10-21 18:15:03] INFO: Detection scale factor changed to 1.12
[2025-10-21 18:15:03] INFO: detection.scale_factor has been changed to 1.13
[2025-10-21 18:15:03] INFO: Detection scale factor changed to 1.13
[2025-10-21 18:15:04] INFO: detection.scale_factor has been changed to 1.14
[2025-10-21 18:15:04] INFO: Detection scale factor changed to 1.14
[2025-10-21 18:15:04] INFO: detection.scale_factor has been changed to 1.14
[2025-10-21 18:15:04] INFO: Detection scale factor changed to 1.14
[2025-10-21 18:15:04] INFO: detection.scale_factor has been changed to 1.14
[2025-10-21 18:15:04] INFO: Detection scale factor changed to 1.14
[2025-10-21 18:15:04] INFO: detection.scale_factor has been changed to 1.15
[2025-10-21 18:15:04] INFO: Detection scale factor changed to 1.15
[2025-10-21 18:15:04] INFO: detection.scale_factor has been changed to 1.16
[2025-10-21 18:15:04] INFO: Detection scale factor changed to 1.16
[2025-10-21 18:15:04] INFO: detection.scale_factor has been changed to 1.17
[2025-10-21 18:15:04] INFO: Detection scale factor changed to 1.17
[2025-10-21 18:15:04] INFO: detection.scale_factor has been changed to 1.18
[2025-10-21 18:15:04] INFO: Detection scale factor changed to 1.18
[2025-10-21 18:15:04] INFO: detection.scale_factor has been changed to 1.19
[2025-10-21 18:15:04] INFO: Detection scale factor changed to 1.19
[2025-10-21 18:15:04] INFO: detection.scale_factor has been changed to 1.2
[2025-10-21 18:15:04] INFO: Detection scale factor changed to 1.2
[2025-10-21 18:15:04] INFO: detection.scale_factor has been changed to 1.21
[2025-10-21 18:15:04] INFO: Detection scale factor changed to 1.21
[2025-10-21 18:15:04] INFO: detection.scale_factor has been changed to 1.22
[2025-10-21 18:15:04] INFO: Detection scale factor changed to 1.22
[2025-10-21 18:15:04] INFO: detection.scale_factor has been changed to 1.23
[2025-10-21 18:15:04] INFO: Detection scale factor changed to 1.23
[2025-10-21 18:15:04] INFO: detection.scale_factor has been changed to 1.24
[2025-10-21 18:15:04] INFO: Detection scale factor changed to 1.24
[2025-10-21 18:15:04] INFO: detection.scale_factor has been changed to 1.25
[2025-10-21 18:15:04] INFO: Detection scale factor changed to 1.25
[2025-10-21 18:15:04] INFO: detection.scale_factor has been changed to 1.26
[2025-10-21 18:15:04] INFO: Detection scale factor changed to 1.26
[2025-10-21 18:15:05] INFO: detection.scale_factor has been changed to 1.25
[2025-10-21 18:15:05] INFO: Detection scale factor changed to 1.25
[2025-10-21 18:15:05] INFO: detection.scale_factor has been changed to 1.24
[2025-10-21 18:15:05] INFO: Detection scale factor changed to 1.24
[2025-10-21 18:15:05] INFO: detection.scale_factor has been changed to 1.23
[2025-10-21 18:15:05] INFO: Detection scale factor changed to 1.23
[2025-10-21 18:15:06] INFO: detection.scale_factor has been changed to 1.23
[2025-10-21 18:15:06] INFO: Detection scale factor changed to 1.23
[2025-10-21 18:15:07] INFO: detection.min_size_px has been changed to 171
[2025-10-21 18:15:07] INFO: Min size px changed to 171
[2025-10-21 18:15:07] INFO: detection.min_size_px has been changed to 168
[2025-10-21 18:15:07] INFO: Min size px changed to 168
[2025-10-21 18:15:07] INFO: detection.min_size_px has been changed to 167
[2025-10-21 18:15:07] INFO: Min size px changed to 167
[2025-10-21 18:15:07] INFO: detection.min_size_px has been changed to 166
[2025-10-21 18:15:07] INFO: Min size px changed to 166
[2025-10-21 18:15:07] INFO: detection.min_size_px has been changed to 165
[2025-10-21 18:15:07] INFO: Min size px changed to 165
[2025-10-21 18:15:07] INFO: detection.min_size_px has been changed to 164
[2025-10-21 18:15:07] INFO: Min size px changed to 164
[2025-10-21 18:15:07] INFO: detection.min_size_px has been changed to 163
[2025-10-21 18:15:07] INFO: Min size px changed to 163
[2025-10-21 18:15:07] INFO: detection.min_size_px has been changed to 162
[2025-10-21 18:15:07] INFO: Min size px changed to 162
[2025-10-21 18:15:07] INFO: detection.min_size_px has been changed to 161
[2025-10-21 18:15:07] INFO: Min size px changed to 161
[2025-10-21 18:15:07] INFO: detection.min_size_px has been changed to 160
[2025-10-21 18:15:07] INFO: Min size px changed to 160
[2025-10-21 18:15:07] INFO: detection.min_size_px has been changed to 159
[2025-10-21 18:15:07] INFO: Min size px changed to 159
[2025-10-21 18:15:07] INFO: detection.min_size_px has been changed to 158
[2025-10-21 18:15:07] INFO: Min size px changed to 158
[2025-10-21 18:15:07] INFO: detection.min_size_px has been changed to 157
[2025-10-21 18:15:07] INFO: Min size px changed to 157
[2025-10-21 18:15:07] INFO: detection.min_size_px has been changed to 156
[2025-10-21 18:15:07] INFO: Min size px changed to 156
[2025-10-21 18:15:07] INFO: detection.min_size_px has been changed to 155
[2025-10-21 18:15:07] INFO: Min size px changed to 155
[2025-10-21 18:15:07] INFO: detection.min_size_px has been changed to 154
[2025-10-21 18:15:07] INFO: Min size px changed to 154
[2025-10-21 18:15:07] INFO: detection.min_size_px has been changed to 153
[2025-10-21 18:15:07] INFO: Min size px changed to 153
[2025-10-21 18:15:07] INFO: detection.min_size_px has been changed to 152
[2025-10-21 18:15:07] INFO: Min size px changed to 152
[2025-10-21 18:15:07] INFO: detection.min_size_px has been changed to 149
[2025-10-21 18:15:07] INFO: Min size px changed to 149
[2025-10-21 18:15:07] INFO: detection.min_size_px has been changed to 148
[2025-10-21 18:15:07] INFO: Min size px changed to 148
[2025-10-21 18:15:07] INFO: detection.min_size_px has been changed to 147
[2025-10-21 18:15:07] INFO: Min size px changed to 147
[2025-10-21 18:15:07] INFO: detection.min_size_px has been changed to 145
[2025-10-21 18:15:07] INFO: Min size px changed to 145
[2025-10-21 18:15:07] INFO: detection.min_size_px has been changed to 144
[2025-10-21 18:15:07] INFO: Min size px changed to 144
[2025-10-21 18:15:07] INFO: detection.min_size_px has been changed to 143
[2025-10-21 18:15:07] INFO: Min size px changed to 143
[2025-10-21 18:15:07] INFO: detection.min_size_px has been changed to 142
[2025-10-21 18:15:07] INFO: Min size px changed to 142
[2025-10-21 18:15:07] INFO: detection.min_size_px has been changed to 141
[2025-10-21 18:15:07] INFO: Min size px changed to 141
[2025-10-21 18:15:07] INFO: detection.min_size_px has been changed to 140
[2025-10-21 18:15:07] INFO: Min size px changed to 140
[2025-10-21 18:15:07] INFO: detection.min_size_px has been changed to 139
[2025-10-21 18:15:07] INFO: Min size px changed to 139
[2025-10-21 18:15:07] INFO: detection.min_size_px has been changed to 138
[2025-10-21 18:15:07] INFO: Min size px changed to 138
[2025-10-21 18:15:07] INFO: detection.min_size_px has been changed to 137
[2025-10-21 18:15:07] INFO: Min size px changed to 137
[2025-10-21 18:15:07] INFO: detection.min_size_px has been changed to 136
[2025-10-21 18:15:07] INFO: Min size px changed to 136
[2025-10-21 18:15:07] INFO: detection.min_size_px has been changed to 135
[2025-10-21 18:15:07] INFO: Min size px changed to 135
[2025-10-21 18:15:07] INFO: detection.min_size_px has been changed to 134
[2025-10-21 18:15:07] INFO: Min size px changed to 134
[2025-10-21 18:15:07] INFO: detection.min_size_px has been changed to 133
[2025-10-21 18:15:07] INFO: Min size px changed to 133
[2025-10-21 18:15:07] INFO: detection.min_size_px has been changed to 132
[2025-10-21 18:15:07] INFO: Min size px changed to 132
[2025-10-21 18:15:07] INFO: detection.min_size_px has been changed to 131
[2025-10-21 18:15:07] INFO: Min size px changed to 131
[2025-10-21 18:15:07] INFO: detection.min_size_px has been changed to 130
