[2025-10-15 17:01:25] INFO: Application Logger Initialized.
[2025-10-15 17:01:25] INFO: Configuration and core components loaded.
[2025-10-15 17:01:25] INFO: Configuration loaded from classpath: app.properties
[2025-10-15 17:01:25] INFO: Configuration file loaded
[2025-10-15 17:01:25] INFO: MyGUIProgram Started!
[2025-10-15 17:01:26] INFO: === Folder debug ===
[2025-10-15 17:01:26] INFO: Found folder: C:\SMU\CS102 Project\FaceRecognitionCS102\data\facedata\S11234_PY
[2025-10-15 17:01:26] INFO:   Contains: 15 items
[2025-10-15 17:01:26] INFO:   Display label: S11234 - PY
[2025-10-15 17:01:26] INFO: Found folder: C:\SMU\CS102 Project\FaceRecognitionCS102\data\facedata\S12127_Jin_Rae
[2025-10-15 17:01:26] INFO:   Contains: 30 items
[2025-10-15 17:01:26] INFO:   Display label: S12127 - Jin_Rae
[2025-10-15 17:01:26] INFO: Found folder: C:\SMU\CS102 Project\FaceRecognitionCS102\data\facedata\S12345_Jereme
[2025-10-15 17:01:26] INFO:   Contains: 15 items
[2025-10-15 17:01:26] INFO:   Display label: S12345 - Jereme
[2025-10-15 17:01:26] INFO: Found folder: C:\SMU\CS102 Project\FaceRecognitionCS102\data\facedata\S32445_Beverly_Seet
[2025-10-15 17:01:26] INFO:   Contains: 30 items
[2025-10-15 17:01:26] INFO:   Display label: S32445 - Beverly_Seet
[2025-10-15 17:01:26] INFO: ====================
[2025-10-15 17:01:28] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:28] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:28] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:28] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:28] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:28] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:28] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:29] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:29] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:29] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:29] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:29] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:29] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:29] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:29] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:30] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:30] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:30] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:30] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:30] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:30] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:30] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:30] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:31] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:31] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:31] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:31] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:31] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:31] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:31] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:31] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:32] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:32] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:32] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:32] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:32] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:32] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:32] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:32] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:32] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:32] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:33] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:33] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:33] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:33] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:33] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:33] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:33] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:33] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:34] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:34] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:34] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:34] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:34] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:34] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:34] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:34] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:35] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:35] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:35] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:35] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:35] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:35] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:35] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:35] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:36] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:36] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:36] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:36] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:36] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:36] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:36] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:36] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:37] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:37] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:37] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:37] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:37] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:37] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:37] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:37] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:38] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:38] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:38] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:38] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:38] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:38] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:38] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:38] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:39] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:39] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:39] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:39] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:39] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:39] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:39] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:39] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:40] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:40] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:40] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:40] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:40] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:40] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:40] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:40] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:40] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:40] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:40] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:41] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:41] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:41] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:41] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:41] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:41] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:41] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:41] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:41] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:42] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:42] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:42] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:42] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:42] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:42] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:42] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:42] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:43] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:43] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:43] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:43] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:43] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:43] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:43] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:43] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:44] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:44] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:44] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:44] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:44] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:44] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:44] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:44] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:45] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:45] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:45] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:45] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:45] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:45] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:45] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:45] INFO: Face embedding model loaded successfully
[2025-10-15 17:01:46] INFO: Face embedding model loaded successfully
