[2025-10-22 15:00:21] INFO: detection.scale_factor has been changed to 1.1
[2025-10-22 15:00:21] INFO: Detection scale factor changed to 1.1
[2025-10-22 15:00:21] INFO: detection.scale_factor has been changed to 1.09
[2025-10-22 15:00:21] INFO: Detection scale factor changed to 1.09
[2025-10-22 15:00:21] INFO: detection.scale_factor has been changed to 1.09
[2025-10-22 15:00:21] INFO: Detection scale factor changed to 1.09
[2025-10-22 15:00:21] INFO: detection.scale_factor has been changed to 1.09
[2025-10-22 15:00:21] INFO: Detection scale factor changed to 1.09
[2025-10-22 15:00:21] INFO: detection.scale_factor has been changed to 1.08
[2025-10-22 15:00:21] INFO: Detection scale factor changed to 1.08
[2025-10-22 15:00:21] INFO: detection.scale_factor has been changed to 1.08
[2025-10-22 15:00:21] INFO: Detection scale factor changed to 1.08
[2025-10-22 15:00:21] INFO: detection.scale_factor has been changed to 1.08
[2025-10-22 15:00:21] INFO: Detection scale factor changed to 1.08
[2025-10-22 15:00:21] INFO: detection.scale_factor has been changed to 1.07
[2025-10-22 15:00:21] INFO: Detection scale factor changed to 1.07
[2025-10-22 15:00:21] INFO: detection.scale_factor has been changed to 1.07
[2025-10-22 15:00:21] INFO: Detection scale factor changed to 1.07
[2025-10-22 15:00:21] INFO: detection.scale_factor has been changed to 1.07
[2025-10-22 15:00:21] INFO: Detection scale factor changed to 1.07
[2025-10-22 15:00:21] INFO: detection.scale_factor has been changed to 1.06
[2025-10-22 15:00:21] INFO: Detection scale factor changed to 1.06
[2025-10-22 15:00:21] INFO: detection.scale_factor has been changed to 1.06
[2025-10-22 15:00:21] INFO: Detection scale factor changed to 1.06
[2025-10-22 15:00:21] INFO: detection.scale_factor has been changed to 1.06
[2025-10-22 15:00:21] INFO: Detection scale factor changed to 1.06
[2025-10-22 15:00:21] INFO: detection.scale_factor has been changed to 1.05
[2025-10-22 15:00:21] INFO: Detection scale factor changed to 1.05
[2025-10-22 15:00:21] INFO: detection.scale_factor has been changed to 1.05
[2025-10-22 15:00:21] INFO: Detection scale factor changed to 1.05
[2025-10-22 15:00:22] INFO: detection.scale_factor has been changed to 1.05
[2025-10-22 15:00:22] INFO: Detection scale factor changed to 1.05
[2025-10-22 15:00:22] INFO: detection.scale_factor has been changed to 1.04
[2025-10-22 15:00:22] INFO: Detection scale factor changed to 1.04
[2025-10-22 15:00:22] INFO: detection.scale_factor has been changed to 1.04
[2025-10-22 15:00:22] INFO: Detection scale factor changed to 1.04
[2025-10-22 15:00:22] INFO: detection.scale_factor has been changed to 1.04
[2025-10-22 15:00:22] INFO: Detection scale factor changed to 1.04
[2025-10-22 15:00:22] INFO: detection.scale_factor has been changed to 1.03
[2025-10-22 15:00:22] INFO: Detection scale factor changed to 1.03
[2025-10-22 15:00:22] INFO: detection.scale_factor has been changed to 1.03
[2025-10-22 15:00:22] INFO: Detection scale factor changed to 1.03
[2025-10-22 15:00:23] INFO: Starting capture process...
[2025-10-22 15:00:23] INFO: Performing capture with target: 20
[2025-10-22 15:00:23] INFO: Debug: Capture process started
[2025-10-22 15:00:23] INFO: Debug: Image saved with confidence 0.99
[2025-10-22 15:00:24] INFO: Debug: Image saved with confidence 0.97
[2025-10-22 15:00:26] INFO: Debug: Image saved with confidence 1.00
[2025-10-22 15:00:27] INFO: Debug: Image saved with confidence 1.00
[2025-10-22 15:00:29] INFO: Debug: Image saved with confidence 1.00
[2025-10-22 15:00:30] INFO: Debug: Image saved with confidence 1.00
[2025-10-22 15:00:32] INFO: Debug: Image saved with confidence 1.00
[2025-10-22 15:00:33] INFO: Debug: Image saved with confidence 1.00
[2025-10-22 15:00:34] INFO: Debug: Image saved with confidence 1.00
[2025-10-22 15:00:36] INFO: Debug: Image saved with confidence 1.00
[2025-10-22 15:00:37] INFO: Debug: Image saved with confidence 1.00
[2025-10-22 15:00:39] INFO: Debug: Image saved with confidence 1.00
[2025-10-22 15:00:40] INFO: Debug: Image saved with confidence 1.00
[2025-10-22 15:00:41] INFO: Debug: Image saved with confidence 1.00
[2025-10-22 15:00:43] INFO: Debug: Image saved with confidence 1.00
[2025-10-22 15:00:44] INFO: Debug: Image saved with confidence 1.00
[2025-10-22 15:00:46] INFO: Debug: Image saved with confidence 1.00
[2025-10-22 15:00:47] INFO: Debug: Image saved with confidence 1.00
[2025-10-22 15:00:48] INFO: Debug: Image saved with confidence 1.00
[2025-10-22 15:00:50] INFO: Debug: Image saved with confidence 1.00
[2025-10-22 15:00:51] INFO: Debug: Capture process finished
[2025-10-22 15:00:51] INFO: Debug: Warning - Processing captured images...
[2025-10-22 15:00:51] SEVERE: Invalid embedding: too sparse (12.9% non-zero)
[2025-10-22 15:00:51] SEVERE: ￢ﾝﾌ Invalid embedding generated for: C:\SMU\CS102 Project\FaceRecognitionCS102\data\facedata\S13234_Jin_Rae\S13234_001.png
[2025-10-22 15:00:51] SEVERE: Invalid embedding: too sparse (12.9% non-zero)
[2025-10-22 15:00:51] SEVERE: ￢ﾝﾌ Invalid embedding generated for: C:\SMU\CS102 Project\FaceRecognitionCS102\data\facedata\S13234_Jin_Rae\S13234_002.png
[2025-10-22 15:00:51] SEVERE: Invalid embedding: too sparse (12.9% non-zero)
[2025-10-22 15:00:51] SEVERE: ￢ﾝﾌ Invalid embedding generated for: C:\SMU\CS102 Project\FaceRecognitionCS102\data\facedata\S13234_Jin_Rae\S13234_003.png
[2025-10-22 15:00:51] SEVERE: Invalid embedding: too sparse (12.7% non-zero)
[2025-10-22 15:00:51] SEVERE: ￢ﾝﾌ Invalid embedding generated for: C:\SMU\CS102 Project\FaceRecognitionCS102\data\facedata\S13234_Jin_Rae\S13234_004.png
[2025-10-22 15:00:51] SEVERE: Invalid embedding: too sparse (12.7% non-zero)
[2025-10-22 15:00:51] SEVERE: ￢ﾝﾌ Invalid embedding generated for: C:\SMU\CS102 Project\FaceRecognitionCS102\data\facedata\S13234_Jin_Rae\S13234_005.png
[2025-10-22 15:00:51] SEVERE: Invalid embedding: too sparse (12.9% non-zero)
[2025-10-22 15:00:51] SEVERE: ￢ﾝﾌ Invalid embedding generated for: C:\SMU\CS102 Project\FaceRecognitionCS102\data\facedata\S13234_Jin_Rae\S13234_006.png
[2025-10-22 15:00:51] SEVERE: Invalid embedding: too sparse (12.7% non-zero)
[2025-10-22 15:00:51] SEVERE: ￢ﾝﾌ Invalid embedding generated for: C:\SMU\CS102 Project\FaceRecognitionCS102\data\facedata\S13234_Jin_Rae\S13234_007.png
[2025-10-22 15:00:51] SEVERE: Invalid embedding: too sparse (12.9% non-zero)
[2025-10-22 15:00:51] SEVERE: ￢ﾝﾌ Invalid embedding generated for: C:\SMU\CS102 Project\FaceRecognitionCS102\data\facedata\S13234_Jin_Rae\S13234_008.png
[2025-10-22 15:00:51] SEVERE: Invalid embedding: too sparse (12.9% non-zero)
[2025-10-22 15:00:51] SEVERE: ￢ﾝﾌ Invalid embedding generated for: C:\SMU\CS102 Project\FaceRecognitionCS102\data\facedata\S13234_Jin_Rae\S13234_009.png
[2025-10-22 15:00:51] SEVERE: Invalid embedding: too sparse (12.9% non-zero)
[2025-10-22 15:00:51] SEVERE: ￢ﾝﾌ Invalid embedding generated for: C:\SMU\CS102 Project\FaceRecognitionCS102\data\facedata\S13234_Jin_Rae\S13234_010.png
[2025-10-22 15:00:51] SEVERE: Invalid embedding: too sparse (12.9% non-zero)
[2025-10-22 15:00:51] SEVERE: ￢ﾝﾌ Invalid embedding generated for: C:\SMU\CS102 Project\FaceRecognitionCS102\data\facedata\S13234_Jin_Rae\S13234_011.png
[2025-10-22 15:00:51] SEVERE: Invalid embedding: too sparse (12.9% non-zero)
[2025-10-22 15:00:51] SEVERE: ￢ﾝﾌ Invalid embedding generated for: C:\SMU\CS102 Project\FaceRecognitionCS102\data\facedata\S13234_Jin_Rae\S13234_012.png
[2025-10-22 15:00:51] SEVERE: Invalid embedding: too sparse (12.7% non-zero)
[2025-10-22 15:00:51] SEVERE: ￢ﾝﾌ Invalid embedding generated for: C:\SMU\CS102 Project\FaceRecognitionCS102\data\facedata\S13234_Jin_Rae\S13234_013.png
[2025-10-22 15:00:51] SEVERE: Invalid embedding: too sparse (12.9% non-zero)
[2025-10-22 15:00:51] SEVERE: ￢ﾝﾌ Invalid embedding generated for: C:\SMU\CS102 Project\FaceRecognitionCS102\data\facedata\S13234_Jin_Rae\S13234_014.png
[2025-10-22 15:00:51] SEVERE: Invalid embedding: too sparse (12.7% non-zero)
[2025-10-22 15:00:51] SEVERE: ￢ﾝﾌ Invalid embedding generated for: C:\SMU\CS102 Project\FaceRecognitionCS102\data\facedata\S13234_Jin_Rae\S13234_015.png
[2025-10-22 15:00:51] SEVERE: Invalid embedding: too sparse (12.9% non-zero)
[2025-10-22 15:00:51] SEVERE: ￢ﾝﾌ Invalid embedding generated for: C:\SMU\CS102 Project\FaceRecognitionCS102\data\facedata\S13234_Jin_Rae\S13234_016.png
[2025-10-22 15:00:51] SEVERE: Invalid embedding: too sparse (12.9% non-zero)
[2025-10-22 15:00:51] SEVERE: ￢ﾝﾌ Invalid embedding generated for: C:\SMU\CS102 Project\FaceRecognitionCS102\data\facedata\S13234_Jin_Rae\S13234_017.png
[2025-10-22 15:00:51] SEVERE: Invalid embedding: too sparse (12.9% non-zero)
[2025-10-22 15:00:51] SEVERE: ￢ﾝﾌ Invalid embedding generated for: C:\SMU\CS102 Project\FaceRecognitionCS102\data\facedata\S13234_Jin_Rae\S13234_018.png
[2025-10-22 15:00:51] SEVERE: Invalid embedding: too sparse (12.9% non-zero)
[2025-10-22 15:00:51] SEVERE: ￢ﾝﾌ Invalid embedding generated for: C:\SMU\CS102 Project\FaceRecognitionCS102\data\facedata\S13234_Jin_Rae\S13234_019.png
[2025-10-22 15:00:51] SEVERE: Invalid embedding: too sparse (12.7% non-zero)
[2025-10-22 15:00:51] SEVERE: ￢ﾝﾌ Invalid embedding generated for: C:\SMU\CS102 Project\FaceRecognitionCS102\data\facedata\S13234_Jin_Rae\S13234_020.png
[2025-10-22 15:00:51] INFO: Embedding generation complete: 0/20 successful
[2025-10-22 15:00:51] INFO: Debug: Warning - Warning: Only 0/20 embeddings generated successfully
[2025-10-22 15:00:51] INFO: Capture result: true - Successfully captured 20 high-quality face images
[2025-10-22 15:00:54] INFO: Debug: All images captured successfully
[2025-10-22 15:00:55] INFO: Disposing FaceCaptureDialog...
[2025-10-22 15:00:55] INFO: Preview timer stopped
[2025-10-22 15:00:56] INFO: Face detection resources released
