[2025-10-25 23:08:14] INFO: Application Logger Initialized.
[2025-10-25 23:08:14] INFO: app.properties normalized (54 entries).
[2025-10-25 23:08:14] INFO: Configuration loaded from file: C:\Users\Jereme\OneDrive\Pictures\Documents\GITHUB SHIT\FaceRecognitionCS102\app.properties
[2025-10-25 23:08:16] INFO: Configuration saved to file.
[2025-10-25 23:08:16] INFO: Settings saved from SettingsGUI
[2025-10-25 23:08:26] INFO: detection.scale_factor has been changed to 1.13
[2025-10-25 23:08:26] INFO: Detection scale factor changed to 1.13
[2025-10-25 23:08:26] INFO: detection.scale_factor has been changed to 1.14
[2025-10-25 23:08:26] INFO: Detection scale factor changed to 1.14
[2025-10-25 23:08:26] INFO: detection.scale_factor has been changed to 1.15
[2025-10-25 23:08:26] INFO: Detection scale factor changed to 1.15
[2025-10-25 23:08:26] INFO: detection.scale_factor has been changed to 1.16
[2025-10-25 23:08:26] INFO: Detection scale factor changed to 1.16
[2025-10-25 23:08:26] INFO: detection.scale_factor has been changed to 1.15
[2025-10-25 23:08:26] INFO: Detection scale factor changed to 1.15
[2025-10-25 23:08:26] INFO: detection.scale_factor has been changed to 1.14
[2025-10-25 23:08:26] INFO: Detection scale factor changed to 1.14
[2025-10-25 23:08:26] INFO: detection.scale_factor has been changed to 1.13
[2025-10-25 23:08:26] INFO: Detection scale factor changed to 1.13
[2025-10-25 23:08:27] INFO: detection.scale_factor has been changed to 1.13
[2025-10-25 23:08:27] INFO: Detection scale factor changed to 1.13
[2025-10-25 23:08:30] INFO: detection.scale_factor has been changed to 1.13
[2025-10-25 23:08:30] INFO: Detection scale factor changed to 1.13
[2025-10-25 23:08:30] INFO: detection.scale_factor has been changed to 1.14
[2025-10-25 23:08:30] INFO: Detection scale factor changed to 1.14
[2025-10-25 23:08:30] INFO: detection.scale_factor has been changed to 1.15
[2025-10-25 23:08:30] INFO: Detection scale factor changed to 1.15
[2025-10-25 23:08:30] INFO: detection.scale_factor has been changed to 1.16
[2025-10-25 23:08:30] INFO: Detection scale factor changed to 1.16
[2025-10-25 23:08:30] INFO: detection.scale_factor has been changed to 1.17
[2025-10-25 23:08:30] INFO: Detection scale factor changed to 1.17
[2025-10-25 23:08:30] INFO: detection.scale_factor has been changed to 1.18
[2025-10-25 23:08:30] INFO: Detection scale factor changed to 1.18
[2025-10-25 23:08:31] INFO: detection.scale_factor has been changed to 1.18
[2025-10-25 23:08:31] INFO: Detection scale factor changed to 1.18
